facilityId,facilityName,state,lat,lon,primaryFuel
1586,Framingham Station,MA,42.2672,-71.3983,Diesel Oil
1588,Mystic,MA,42.3917,-71.0667,Pipeline Natural Gas
1592,Medway Station,MA,42.1364,-71.4478,Diesel Oil
1594,Blackstone,MA,42.3636,-71.1161,Pipeline Natural Gas
1595,Kendall Green Energy LLC,MA,42.3633,-71.0792,Diesel Oil
1599,Canal Station,MA,41.7694,-70.5097,Pipeline Natural Gas
1631,Doreen,MA,42.4431,-73.2061,Diesel Oil
1642,West Springfield,MA,42.0956,-72.5958,Pipeline Natural Gas
1643,Woodland Road,MA,42.3362,-73.2352,Diesel Oil
1660,Potter,MA,42.235,-70.9672,Pipeline Natural Gas
1678,Waters River,MA,42.5428,-70.9236,Pipeline Natural Gas
1682,Cleary Flood,MA,41.8653,-71.1061,Pipeline Natural Gas
1702,Dan E Karn,MI,43.6425,-83.8431,Pipeline Natural Gas
1710,J H Campbell,MI,42.9103,-86.2036,Coal
1719,Thetford,MI,43.1568,-83.6285,Pipeline Natural Gas
1728,Delray,MI,42.2947,-83.1019,Pipeline Natural Gas
1730,Hancock Peakers,MI,42.5497,-83.4425,Pipeline Natural Gas
1733,Monroe,MI,41.8917,-83.3461,Coal
1740,River Rouge,MI,42.2733,-83.1131,Process Gas
1743,St. Clair,MI,42.7642,-82.4719,Coal
1745,Trenton Channel,MI,42.1236,-83.1811,Coal
1769,Presque Isle,MI,46.5789,-87.395,Coal
1825,J B Sims,MI,43.0722,-86.2342,Coal
1831,Eckert Station,MI,42.7183,-84.5586,Coal
1832,Erickson,MI,42.6919,-84.6572,Coal
1843,Shiras,MI,46.5314,-87.3917,Coal
1866,Wyandotte,MI,42.2081,-83.1453,Pipeline Natural Gas
1891,Laskin Energy Center,MN,47.5306,-92.1619,Natural Gas
1893,Boswell Energy Center,MN,47.2603,-93.6531,Coal
1897,Hibbard Energy Center,MN,46.7356,-92.1531,Wood
1904,Black Dog,MN,44.8108,-93.2501,Pipeline Natural Gas
1912,High Bridge,MN,44.9331,-93.1075,Pipeline Natural Gas
1913,Inver Hills,MN,44.781,-93.042,Pipeline Natural Gas
1915,Allen S King,MN,45.03,-92.7786,Coal
1927,Riverside (1927),MN,45.0203,-93.2753,Pipeline Natural Gas
1943,Hoot Lake,MN,46.29,-96.0428,Coal
2001,New Ulm,MN,44.3159,-94.4578,Diesel Oil
2038,Cambridge Station,MN,45.601,-93.2081,Pipeline Natural Gas
2039,Elk River,MN,45.2958,-93.5542,Pipeline Natural Gas
2042,Maple Lake Station,MN,45.229,-94.0097,Diesel Oil
2047,Chevron Cogenerating Station,MS,30.34,-88.492,Natural Gas
2048,Sweatt Electric Generating Plant,MS,32.2925,-88.7461,Pipeline Natural Gas
2049,Watson Electric Generating Plant,MS,30.4408,-89.0265,Pipeline Natural Gas
2050,Baxter Wilson,MS,32.2831,-90.9306,Pipeline Natural Gas
2053,Rex Brown,MS,32.3564,-90.2125,Pipeline Natural Gas
2070,Moselle Generation Complex,MS,31.5289,-89.2992,Pipeline Natural Gas
2076,Asbury,MO,37.3596,-94.5913,Coal
2079,Hawthorn,MO,39.1306,-94.4778,Pipeline Natural Gas
2081,Northeast Generating Station,MO,39.1231,-94.5605,Diesel Oil
2082,Fairgrounds,MO,38.5935,-92.2203,Diesel Oil
2092,Ralph Green Station,MO,38.7865,-94.2768,Pipeline Natural Gas
2098,Lake Road,MO,39.7246,-94.8773,Pipeline Natural Gas
2103,Labadie,MO,38.5583,-90.8361,Coal
2104,Meramec,MO,38.4017,-90.3358,Pipeline Natural Gas
2107,Sioux,MO,38.9158,-90.2917,Coal
2122,Chillicothe,MO,39.784,-93.562,Pipeline Natural Gas
2123,Columbia,MO,38.9658,-92.3175,Pipeline Natural Gas
2131,Higginsville Municipal Power Plant,MO,39.0721,-93.721,Pipeline Natural Gas
2132,Blue Valley,MO,39.0919,-94.3261,Pipeline Natural Gas
2161,James River,MO,37.1086,-93.2592,Natural Gas
2167,New Madrid Power Plant,MO,36.5147,-89.5617,Coal
2168,Thomas Hill Energy Center,MO,39.5531,-92.6392,Coal
2176,Glendive Generating Station,MT,47.0539,-104.74,Pipeline Natural Gas
2226,Canaday,NE,40.6941,-99.7005,Pipeline Natural Gas
2240,Lon D Wright Power Plant,NE,41.4275,-96.4619,Coal
2241,C W Burdick,NE,40.9228,-98.3269,Pipeline Natural Gas
2250,J Street,NE,40.8078,-96.7107,Pipeline Natural Gas
2265,Hallam Peaking,NE,40.5587,-96.7862,Pipeline Natural Gas
2266,Hebron Peaking,NE,40.1879,-97.5779,Diesel Oil
2271,McCook Peaking,NE,40.2209,-100.6511,Diesel Oil
2277,Sheldon,NE,40.5589,-96.7842,Coal
2290,Jones Street,NE,41.2517,-95.9235,Diesel Oil
2291,North Omaha Station,NE,41.3297,-95.9458,Coal
2292,Sarpy County Station,NE,41.1706,-95.9692,Pipeline Natural Gas
2322,Clark,NV,36.0875,-115.0507,Pipeline Natural Gas
2330,Fort Churchill,NV,39.1281,-119.1319,Pipeline Natural Gas
2336,Tracy,NV,39.5625,-119.525,Pipeline Natural Gas
2362,Lost Nation,NH,44.5942,-71.4943,Diesel Oil
2364,Merrimack,NH,43.1411,-71.4692,Other Oil
2367,Schiller,NH,43.0978,-70.7842,Other Oil
2369,White Lake,NH,43.8478,-71.2069,Other Oil
2378,B L England,NJ,39.29,-74.6339,Residual Oil
2379,Carlls Corner Energy Center,NJ,39.4547,-75.2011,Pipeline Natural Gas
2390,Sayreville,NJ,40.4753,-74.3552,Pipeline Natural Gas
2393,Gilbert Generating Station,NJ,40.5661,-75.165,Pipeline Natural Gas
2398,Bergen Generating Station,NJ,40.8375,-74.0244,Pipeline Natural Gas
2399,Burlington Generating Station,NJ,40.0753,-74.8781,Pipeline Natural Gas
2401,Essex,NJ,40.7375,-74.1211,Pipeline Natural Gas
2404,Kearny Generating Station,NJ,40.7375,-74.1,Pipeline Natural Gas
2406,Linden Generating Station,NJ,40.6225,-74.2097,Pipeline Natural Gas
2410,Salem Generating Station,NJ,39.4625,-75.5333,Diesel Oil
2411,Sewaren Generating Station,NJ,40.5564,-74.2461,Pipeline Natural Gas
2434,Howard M Down,NJ,39.4889,-75.0347,Natural Gas
2440,"New-Indy Catawba, LLC",SC,34.8456,-80.8942,Residual Oil
2442,Four Corners Steam Elec Station,NM,36.69,-108.4814,Coal
2444,Rio Grande,NM,31.8047,-106.5472,Pipeline Natural Gas
2446,Maddox,NM,32.7142,-103.3015,Pipeline Natural Gas
2450,Reeves Generating Station,NM,35.1716,-106.6019,Pipeline Natural Gas
2451,San Juan,NM,36.8006,-108.4386,Coal
2454,Cunningham,NM,32.7131,-103.3533,Pipeline Natural Gas
2480,Danskammer Generating Station,NY,41.573,-73.9646,Pipeline Natural Gas
2490,Arthur Kill,NY,40.5915,-74.2027,Pipeline Natural Gas
2493,East River,NY,40.7281,-73.9742,Pipeline Natural Gas
2494,Gowanus Generating Station,NY,40.6635,-74.0051,Diesel Oil
2496,Hudson Avenue,NY,40.7052,-73.9807,Other Oil
2499,Narrows Generating Station,NY,40.6486,-74.0209,Pipeline Natural Gas
2500,Ravenswood Generating Station,NY,40.7585,-73.9451,Pipeline Natural Gas
2503,59th Street,NY,40.7711,-73.9911,Other Oil
2504,74th Street,NY,40.768,-73.9515,Other Oil
2511,E F Barrett,NY,40.6169,-73.6486,Pipeline Natural Gas
2512,East Hampton Facility,NY,40.9619,-72.2095,Diesel Oil
2514,Glenwood,NY,40.8269,-73.6479,Diesel Oil
2516,Northport,NY,40.9231,-73.3417,Diesel Oil
2517,Port Jefferson Energy Center,NY,40.9503,-73.0786,Pipeline Natural Gas
2521,West Babylon Facility,NY,40.6953,-73.3497,Diesel Oil
2527,Greenidge Generation LLC,NY,42.6789,-76.9483,Pipeline Natural Gas
2535,"Cayuga Operating Company, LLC",NY,42.6028,-76.6336,Coal
2539,Bethlehem Energy Center (Albany),NY,42.5905,-73.7636,Pipeline Natural Gas
2554,NRG Dunkirk Power,NY,42.49,-79.35,Coal
2594,Oswego Harbor Power,NY,43.46,-76.53,Residual Oil
2625,Bowline Generating Station,NY,41.2044,-73.9689,Pipeline Natural Gas
2628,Hillburn,NY,41.1269,-74.1653,Pipeline Natural Gas
2632,Shoemaker,NY,41.4278,-74.4186,Pipeline Natural Gas
2679,Freeport Power Plant No. 2,NY,40.6447,-73.5683,Diesel Oil
2682,S A Carlson,NY,42.0917,-79.2417,Pipeline Natural Gas
2706,Asheville,NC,35.4714,-82.5431,Pipeline Natural Gas
2707,Blewett,NC,34.9815,-79.8771,Diesel Oil
2709,H F Lee Steam Electric Plant,NC,35.3775,-78.0875,Natural Gas
2712,Roxboro,NC,36.4833,-79.0731,Coal
2713,L V Sutton,NC,34.2824,-77.9864,Natural Gas
2716,W H Weatherspoon,NC,34.5889,-78.975,Diesel Oil
2718,G G Allen,NC,35.1897,-81.0122,Coal
2720,Buck,NC,35.7133,-80.3767,Pipeline Natural Gas
2721,Cliffside,NC,35.22,-81.7594,Coal
2723,Dan River,NC,36.4862,-79.7208,Natural Gas
2727,Marshall,NC,35.5975,-80.9658,Coal
2790,R M Heskett,ND,46.8669,-100.8839,Pipeline Natural Gas
2817,Leland Olds,ND,47.2819,-101.3194,Coal
2823,Milton R Young,ND,47.0664,-101.2139,Coal
2828,Cardinal,OH,40.2522,-80.6486,Diesel Oil
2831,Dicks Creek Power Company LLC,OH,39.465,-84.3775,Pipeline Natural Gas
2832,Miami Fort Power Station,OH,39.1131,-84.8031,Coal
2836,Avon Lake Power Plant,OH,41.5042,-82.05,Diesel Oil
2837,Eastlake,OH,41.6713,-81.4432,Diesel Oil
2840,Conesville,OH,40.1842,-81.8811,Diesel Oil
2847,Frank M Tait Station,OH,39.7281,-84.2103,Pipeline Natural Gas
2848,O H Hutchings,OH,39.6094,-84.2931,Pipeline Natural Gas
2861,Niles,OH,41.1667,-80.75,Diesel Oil
2866,W H Sammis,OH,40.5308,-80.6311,Coal
2869,West Lorain,OH,41.4297,-82.2633,Diesel Oil
2876,Kyger Creek,OH,38.9161,-82.1281,Coal
2878,Bay Shore,OH,41.6925,-83.4375,Petroleum Coke
2880,Richland Peaking Station,OH,41.3033,-84.3386,Pipeline Natural Gas
2917,Hamilton Municipal Power Plant,OH,39.4099,-84.5544,Pipeline Natural Gas
2951,Horseshoe Lake,OK,35.5089,-97.1789,Pipeline Natural Gas
2952,Muskogee,OK,35.7617,-95.2847,Coal
2953,Mustang,OK,35.4711,-97.6733,Pipeline Natural Gas
2956,Seminole (2956),OK,34.9678,-96.7242,Pipeline Natural Gas
2963,Northeastern,OK,36.4317,-95.7008,Coal
2964,Southwestern,OK,35.1009,-98.3524,Pipeline Natural Gas
2965,Tulsa,OK,36.1125,-95.9917,Pipeline Natural Gas
2966,Weleetka,OK,35.3233,-96.1352,Pipeline Natural Gas
3006,Anadarko,OK,35.0847,-98.23,Pipeline Natural Gas
3008,Mooreland,OK,36.4375,-99.2208,Pipeline Natural Gas
3096,Brunot Island Power Station,PA,40.4638,-80.044,Pipeline Natural Gas
3111,Mountain,PA,40.1219,-77.1761,Diesel Oil
3113,Portland,PA,40.91,-75.0789,Pipeline Natural Gas
3116,Tolna,PA,39.7636,-76.6345,Diesel Oil
3118,Conemaugh,PA,40.3842,-79.0611,Coal
3122,Homer City,PA,40.511,-79.1968,Coal
3130,Seward,PA,40.4081,-79.0339,Coal Refuse
3131,Shawville,PA,41.067,-78.3656,Pipeline Natural Gas
3132,Warren,PA,41.8358,-79.19,Pipeline Natural Gas
3136,Keystone,PA,40.6604,-79.3411,Coal
3138,New Castle,PA,40.9378,-80.3681,Pipeline Natural Gas
3140,"Brunner Island, LLC",PA,40.097,-76.6962,Coal
3148,"Martins Creek, LLC",PA,40.796,-75.107,Natural Gas
3149,"Montour, LLC",PA,41.0714,-76.6672,Natural Gas
3161,Eddystone Generating Station,PA,39.858,-75.323,Pipeline Natural Gas
3168,Richmond,PA,39.9853,-75.0733,Diesel Oil
3176,Hunlock Creek Generating LLC,PA,41.2033,-76.0683,Pipeline Natural Gas
3236,Manchester Street Station,RI,41.8167,-71.4042,Pipeline Natural Gas
3250,Darlington County,SC,34.4185,-80.1657,Pipeline Natural Gas
3264,W S Lee,SC,34.6022,-82.435,Pipeline Natural Gas
3285,Hagood,SC,32.8265,-79.9634,Pipeline Natural Gas
3287,McMeekin,SC,34.0533,-81.2178,Pipeline Natural Gas
3291,Parr Combustion Turbine Facility,SC,34.2644,-81.33,Pipeline Natural Gas
3295,Urquhart,SC,33.435,-81.9111,Pipeline Natural Gas
3297,Wateree,SC,33.8264,-80.6218,Coal
3298,Williams,SC,33.0163,-79.9285,Coal
3318,Hilton Head Gas Turbine Site,SC,32.2089,-80.6994,Diesel Oil
3320,Myrtle Beach Gas Turbine Site,SC,33.7089,-78.9233,Diesel Oil
3338,Aberdeen Generating Station,SD,45.4287,-98.4932,Pipeline Natural Gas
3344,Huron,SD,44.3696,-98.17,Pipeline Natural Gas
3393,Allen,TN,35.0742,-90.1439,Pipeline Natural Gas
3396,Bull Run,TN,36.0211,-84.1567,Coal
3399,Cumberland,TN,36.3903,-87.6539,Diesel Oil
3403,Gallatin,TN,36.3156,-86.4006,Pipeline Natural Gas
3405,John Sevier,TN,36.3767,-82.9639,Pipeline Natural Gas
3406,Johnsonville,TN,36.0278,-87.9861,Pipeline Natural Gas
3407,Kingston,TN,35.8992,-84.5194,Coal
3439,Laredo,TX,27.5667,-99.5083,Pipeline Natural Gas
3441,Nueces Bay,TX,27.8182,-97.4189,Pipeline Natural Gas
3443,Victoria Power Station,TX,28.7883,-97.01,Pipeline Natural Gas
3452,Lake Hubbard,TX,32.8364,-96.5464,Pipeline Natural Gas
3453,Mountain Creek Generating Station,TX,32.7253,-96.9361,Pipeline Natural Gas
3456,Newman Power Station,TX,31.9858,-106.4322,Pipeline Natural Gas
3457,Lewis Creek,TX,30.4364,-95.5215,Pipeline Natural Gas
3459,Sabine,TX,30.0242,-93.875,Pipeline Natural Gas
3460,Cedar Bayou,TX,29.7483,-94.9272,Pipeline Natural Gas
3464,Greens Bayou,TX,29.8208,-95.2194,Pipeline Natural Gas
3468,Sam Bertron,TX,29.7268,-95.06,Pipeline Natural Gas
3469,T H Wharton,TX,29.9414,-95.5333,Pipeline Natural Gas
3470,W A Parish,TX,29.4783,-95.6358,Coal
3476,Knox Lee Power Plant,TX,32.3766,-94.6415,Pipeline Natural Gas
3477,Lone Star Power Plant,TX,32.9217,-94.7158,Pipeline Natural Gas
3478,Wilkes Power Plant,TX,32.8486,-94.5469,Pipeline Natural Gas
3482,Jones Station,TX,33.5239,-101.7392,Pipeline Natural Gas
3484,Nichols Station,TX,35.2825,-101.7458,Pipeline Natural Gas
3485,Plant X,TX,34.1661,-102.4114,Pipeline Natural Gas
3490,Graham,TX,33.135,-98.6117,Pipeline Natural Gas
3491,Handley Generating Station,TX,32.7278,-97.2186,Pipeline Natural Gas
3492,Morgan Creek,TX,32.3358,-100.9158,Pipeline Natural Gas
3494,Permian Basin,TX,31.5839,-102.9636,Pipeline Natural Gas
3504,Stryker Creek,TX,31.9381,-94.9883,Pipeline Natural Gas
3507,Trinidad,TX,32.1264,-96.1014,Pipeline Natural Gas
3548,Decker Creek,TX,30.3036,-97.6128,Pipeline Natural Gas
3559,Silas Ray,TX,25.9131,-97.5214,Pipeline Natural Gas
3576,Ray Olinger,TX,33.0667,-96.4519,Pipeline Natural Gas
